"TIME","L1(2)"
0.2220617092,0.577445
0.2220674519,0.573802
0.222074015,0.56949
0.2220871411,0.560421
0.2221133934,0.54058
0.2221658979,0.49444
0.2222709069,0.380036
0.2224444435,0.148543
0.2226301055,-0.117099
0.2228191225,-0.3581
0.2230370369,-0.541718
0.2230434726,-0.545558
0.2230571486,-0.553289
0.2230625802,-0.556168
0.2230626056,-0.556763
0.2230626566,-0.556076
0.2230627585,-0.556298
0.2230627853,-0.556463
0.2230628387,-0.556472
0.2230628533,-0.556272
0.2230628825,-0.55635
0.2230628911,-0.557519
0.2230629082,-0.556919
0.2230629137,-0.555764
0.2230629248,-0.555598
0.2230629408,-0.555644
0.2230629729,-0.555514
0.2230630371,-0.55622
0.2230631656,-0.555885
0.2230634224,-0.556176
0.2230711275,-0.560069
0.2230793462,-0.564033
0.2230957837,-0.571254
0.2231286586,-0.582856
0.2231620492,-0.590714
0.2231693038,-0.591893
0.2231694323,-0.591823
0.2231696893,-0.591909
0.2231696975,-0.59157
0.2231697275,-6.80747
0.2231697337,-8.10324
0.2231697462,-9.58923
0.2231697712,-9.588
0.2231705211,-9.58818
0.2231825192,-9.58245
0.223220913,-9.56087
0.2232721048,-9.52452
0.2233744885,-9.42892
0.2235792557,-9.17629
0.2237693995,-8.91267
0.2239663029,-8.66473
0.2241760097,-8.48352
0.2242016999,-8.46793
0.2242562929,-8.44158
0.2242693057,-8.43671
0.2242696692,-8.43652
0.2242697623,-8.4371
0.2242832725,-8.43258
0.2243241224,-8.42301
0.2243581763,-8.41948
0.2243766121,-8.41929
0.2243770017,-8.41933
0.2243770088,-8.41853
0.2243770788,-4.03225
0.2243771523,0.577292
0.2243771603,0.577169
0.2243771763,0.577971
0.2243772083,0.577478
0.2243772723,0.577009
0.2243774003,0.577091
0.2243812403,0.574655
0.2243935283,0.566573
0.2244099123,0.555007
0.2244426803,0.529252
0.2245082163,0.468027
0.2246392883,0.314383
0.22481608,0.0688833
0.225019772,-0.215534
0.2252087263,-0.431906
0.2253330614,-0.531428
0.2253562397,-0.545716
0.2253620345,-0.549055
0.2253748917,-0.556075
0.2253750284,-0.556059
0.2253752107,-0.556269
0.2253752575,-0.556548
0.2253753573,-0.556382
0.2253753697,-0.555566
0.2253753943,-0.556445
0.2253754017,-0.554309
0.2253754165,-0.555056
0.2253754462,-0.555836
0.2253755055,-0.555744
0.2253756241,-0.555908
0.2253763356,-0.556364
0.2253829768,-0.559713
0.2253905667,-0.563391
0.2254057465,-0.570144
0.2254361061,-0.581229
0.2254664679,-0.589053
0.2254759568,-0.590826
0.2254814167,-0.591698
0.2254814763,-0.59147
